City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,solnechnyy,18,RU,1569398239,50,50.72,136.64,45.41,9.4
88,butaritari,100,KI,1569398239,76,3.07,172.79,83.75,14.52
89,qinhuangdao,0,CN,1569398239,57,39.94,119.59,74.03,6.35
90,mar del plata,84,AR,1569398239,71,-46.43,-67.52,53.15,13.71
91,college,90,US,1569398202,93,64.86,-147.8,39.99,8.05
92,saldanha,38,PT,1569398239,69,41.42,-6.55,57.83,5.73
93,burnie,1,AU,1569398239,79,-41.05,145.91,47.57,5.59
94,chokurdakh,0,RU,1569398240,81,70.62,147.9,27.41,8.7
95,bhinmal,76,IN,1569398240,43,25.01,72.27,94.37,6.69
96,the valley,20,AI,1569398240,78,18.22,-63.06,82.4,6.93
97,carroll,100,AU,1569398240,13,-30.99,150.44,69.8,8.05
98,san quintin,14,PH,1569398240,77,17.54,120.52,81.77,3.71
99,glarus,75,CH,1569398240,87,47.04,9.07,59.0,1.61
100,belyy yar,0,RU,1569398240,39,53.6,91.39,66.2,6.71
101,terney,0,RU,1569398241,62,45.05,136.61,48.29,3.65
102,bredasdorp,0,ZA,1569398241,51,-34.53,20.04,66.99,17.22
103,port hawkesbury,90,CA,1569398241,100,45.62,-61.36,60.01,4.7
104,bahia honda,21,CU,1569398241,75,22.9,-83.16,79.07,9.42
105,salinopolis,21,BR,1569398241,82,-0.61,-47.36,80.69,15.55
106,palana,100,RU,1569398241,80,59.08,159.95,47.39,31.83
107,cangzhou,0,CN,1569398241,22,38.3,116.85,85.55,5.44
108,hay river,90,CA,1569398242,93,60.82,-115.79,46.4,6.93
109,skelleftea,0,SE,1569398242,93,64.75,20.95,55.0,4.7
110,rio grande,0,BR,1569398242,98,-32.03,-52.1,54.0,1.74
111,casper,1,US,1569398242,61,42.87,-106.31,55.0,5.82
112,birao,0,CF,1569398242,59,10.3,22.78,87.71,2.44
113,marshall,1,US,1569398168,88,32.54,-94.37,77.0,7.45
114,tasiilaq,26,GL,1569398242,93,65.61,-37.64,41.0,2.24
