City_ID,   Lat    ,   Lng    ,  Date    , Humidity , Max Temp ,City,Cloudiness,Country   ,Wind Speed
82,64.9,45.76,03-24-2018,72,17.54,leshukonskoye,48,RU,5.39
83,-26.98,-56.83,03-24-2018,74,79.64,san patricio,88,PY,4.61
84,22.08,-159.32,03-24-2018,100,67.45,kapaa,92,US,4.5
85,45.36,-73.48,03-24-2018,86,24.16,saint-philippe,44,CA,11.88
86,37.72,-25.43,03-24-2018,100,61.6,vila franca do campo,88,PT,9.53
87,55.63,34.3,03-24-2018,96,26.09,novodugino,12,RU,6.85
88,-23.84,151.26,03-24-2018,87,74.74,gladstone,92,AU,14.23
89,51.1,66.31,03-24-2018,92,26.32,derzhavinsk,20,KZ,17.58
90,28.28,112.55,03-24-2018,91,61.15,ningxiang,100,CN,5.39
91,73.51,80.55,03-24-2018,100,-8.25,dikson,80,RU,5.39
92,8.41,48.48,03-24-2018,25,88.91,garowe,0,SO,6.29
93,33.93,134.5,03-24-2018,63,51.97,katsuura,0,JP,7.18
94,-26.02,22.4,03-24-2018,53,75.37,tsabong,76,BW,10.98
95,56.12,38.15,03-24-2018,95,22.9,krasnoarmeysk,8,RU,10.42
96,5.36,-74.39,03-24-2018,96,64.88,la palma,44,CO,2.59
97,71.98,102.47,03-24-2018,75,-17.07,khatanga,68,RU,3.6
98,50.68,156.12,03-24-2018,100,24.74,severo-kurilsk,56,RU,9.53
99,7.98,49.82,03-24-2018,86,82.75,eyl,0,SO,9.42
100,-42.77,-65.04,03-24-2018,97,54.13,puerto madryn,92,AR,18.25
101,17.98,73.47,03-24-2018,48,91.48,poladpur,20,IN,6.4
102,-14.9,50.28,03-24-2018,95,80.59,antalaha,64,MG,11.1
103,36.62,-121.92,03-24-2018,97,40.31,pacific grove,8,US,4.16
104,-6.22,-57.76,03-24-2018,99,72.89,jacareacanga,92,BR,2.48
105,-6.97,-34.84,03-24-2018,92,81.58,cabedelo,92,BR,5.95
106,49.69,-83.67,03-24-2018,80,-4.24,hearst,0,CA,3.94
107,-6.13,12.37,03-24-2018,67,85.54,soyo,68,AO,4.16
108,37.68,-113.06,03-24-2018,77,28.88,cedar city,0,US,5.61
109,17.41,121.44,03-24-2018,70,69.56,tabuk,92,PH,2.48
110,-22.95,14.51,03-24-2018,100,61.91,walvis bay,64,NA,7.96
111,66.42,112.4,03-24-2018,74,17.41,udachnyy,76,RU,4.27
112,-19.55,169.27,03-24-2018,100,75.41,isangel,92,VU,3.49
113,22.89,-109.91,03-24-2018,93,72.04,cabo san lucas,0,MX,9.64
114,65.01,53.91,03-24-2018,73,16.96,izhma,20,RU,3.6
115,-41.87,-73.83,03-24-2018,88,41.21,ancud,0,CL,4.94
116,-42.78,147.06,03-24-2018,98,55.88,new norfolk,92,AU,1.92
117,45.52,-122.67,03-24-2018,100,34.91,portland,92,US,5.39
118,-22.12,14.28,03-24-2018,100,62.95,henties bay,32,NA,5.5
119,43.74,17.27,03-24-2018,93,27.26,letka,76,BA,2.93
120,-34.42,19.24,03-24-2018,73,63.76,hermanus,80,ZA,3.49
121,39.95,-94.76,03-24-2018,95,48.28,kodiak,92,US,23.06
122,-34.72,135.86,03-24-2018,86,67.18,port lincoln,36,AU,13.0
123,6.8,-58.16,03-24-2018,83,73.88,georgetown,76,GY,3.71
124,-38.47,177.87,03-24-2018,100,54.67,te karaka,80,NZ,2.37
125,-5.56,-80.82,03-24-2018,89,68.48,sechura,48,PE,4.38
126,6.62,73.07,03-24-2018,100,84.23,kulhudhuffushi,0,MV,7.96
127,-0.72,8.78,03-24-2018,100,82.03,port-gentil,48,GA,2.59
128,-3.71,-38.6,03-24-2018,100,82.48,vila velha,76,BR,11.77
129,41.25,32.69,03-24-2018,85,47.74,safranbolu,92,TR,2.71
130,54.63,-8.45,03-24-2018,98,43.51,killybegs,80,IE,9.19
131,21.78,87.75,03-24-2018,83,85.18,contai,8,IN,10.98
132,-7.47,-34.81,03-24-2018,92,81.58,pitimbu,92,BR,5.95
133,-16.48,-151.75,03-24-2018,97,83.65,faanui,68,PF,14.79
134,69.44,-133.03,03-24-2018,71,-15.67,tuktoyaktuk,32,CA,3.94
135,-0.39,-78.55,03-24-2018,100,45.04,san cristobal,92,EC,1.14
136,44.29,-105.5,03-24-2018,84,26.23,gillette,0,US,3.71
137,-29.95,-71.34,03-24-2018,100,59.44,coquimbo,20,CL,5.17
138,52.51,99.83,03-24-2018,65,40.45,orlik,0,RU,2.15
139,37.14,-8.45,03-24-2018,84,52.06,lagoa,68,PT,14.0
140,8.92,-67.43,03-24-2018,75,74.33,calabozo,12,VE,12.55
141,-33.59,26.89,03-24-2018,85,71.77,port alfred,0,ZA,12.66
142,11.0,122.67,03-24-2018,81,79.01,dingle,64,PH,17.02
143,17.54,44.22,03-24-2018,11,83.83,najran,0,SA,8.97
144,6.54,21.99,03-24-2018,77,83.02,bria,24,CF,10.2
145,-2.95,25.92,03-24-2018,88,76.09,kindu,76,CD,2.59
146,54.34,101.51,03-24-2018,59,47.02,kuytun,0,RU,1.92
147,69.49,88.39,03-24-2018,60,-13.11,talnakh,0,RU,2.93
148,-28.95,153.24,03-24-2018,88,69.25,codrington,32,AU,3.15
149,-23.58,149.07,03-24-2018,65,78.16,bluff,68,AU,13.78
150,39.81,35.19,03-24-2018,95,47.69,sorgun,92,TR,20.49
151,55.75,30.75,03-24-2018,89,28.3,usvyaty,0,RU,4.72
152,-16.82,29.68,03-24-2018,68,81.53,karoi,8,ZW,10.98
153,49.72,-86.95,03-24-2018,68,2.02,geraldton,0,CA,4.94
154,71.64,128.87,03-24-2018,68,-5.1,tiksi,8,RU,2.93
155,24.14,67.45,03-24-2018,91,78.74,keti bandar,0,PK,11.88
156,38.73,-27.07,03-24-2018,100,62.36,praia da vitoria,0,PT,11.77
157,44.1,3.08,03-24-2018,97,35.18,millau,92,FR,2.93
158,78.22,15.63,03-24-2018,84,-6.09,longyearbyen,0,NO,4.5
159,14.9,-24.5,03-24-2018,88,71.86,sao filipe,36,CV,19.26
160,-5.2,-35.46,03-24-2018,94,77.89,touros,64,BR,6.73
161,54.71,11.46,03-24-2018,96,36.94,holeby,20,DK,10.42
162,65.61,-37.64,03-24-2018,92,10.48,tasiilaq,0,GL,9.64
163,39.45,22.34,03-24-2018,91,50.89,saint george,0,GR,3.04
164,65.28,-126.83,03-24-2018,77,-3.97,norman wells,48,CA,5.84
165,45.76,106.27,03-24-2018,58,56.2,mandalgovi,0,MN,16.35
166,21.23,-86.73,03-24-2018,100,66.19,isla mujeres,0,MX,4.38
167,-20.41,57.7,03-24-2018,75,83.33,mahebourg,80,MU,8.75
168,28.17,94.8,03-24-2018,89,62.14,along,100,IN,0.92
169,54.44,61.27,03-24-2018,89,25.19,yuzhnouralsk,36,RU,16.02
170,48.2,40.6,03-24-2018,100,33.97,koksovyy,80,RU,6.96
171,-2.08,101.38,03-24-2018,92,70.33,sungaipenuh,92,ID,1.48
172,66.15,-65.72,03-24-2018,38,-25.21,pangnirtung,8,CA,1.92
173,34.92,32.53,03-24-2018,96,59.98,lasa,36,CY,20.6
